ID,Item,name,duration,log_duration,c_logduration,level ,proficiency,pho_len,c_pho_len,logdice,c_logdice,zpf_total,c_zpf_total,zpf_w1,c_zpf_w1,zpf_w2,c_zpf_w2
31,1,TW132,1.463 ,0.165 ,0.042 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
32,1,TW133,1.175 ,0.070 ,-0.053 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
33,1,TW134,1.722 ,0.236 ,0.113 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
34,1,TW135,1.225 ,0.088 ,-0.035 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
35,1,TW136,1.256 ,0.099 ,-0.024 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
36,1,TW137,1.289 ,0.110 ,-0.013 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
37,1,TW138,1.838 ,0.264 ,0.141 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
38,1,TW139,1.832 ,0.263 ,0.140 ,1.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
39,1,TW140,0.961 ,-0.017 ,-0.140 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
40,1,TW141,0.834 ,-0.079 ,-0.202 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
41,1,TW142,1.132 ,0.054 ,-0.069 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
42,1,TW143,NA,NA,NA,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
43,1,TW144,1.211 ,0.083 ,-0.040 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
44,1,TW145,1.754 ,0.244 ,0.121 ,1.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
45,1,TW146,NA,NA,NA,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
46,1,TW147,1.046 ,0.020 ,-0.103 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
